
=== Experiment 11: rolling-window rule on ER nulls (Corollary 1) ===
  (ER has NO communities: true K = 0, lower is better. K counts size>=3.)
N	m	method	W	k	sided	K_ge3	K_all	Q	stop_frac
1000	4984	roll-log   W=10 k=2.50	10	2.50	1	0.667	975.000	0.004	0.025
1000	4984	roll-log   W=15 k=1.75	15	1.75	1	1.000	963.667	0.006	0.037
1000	4984	roll-log   W=15 k=2.00	15	2.00	1	1.000	961.667	0.007	0.039
1000	4984	roll-log   W=15 k=2.50	15	2.50	1	1.000	961.667	0.007	0.039
1000	4984	roll-log   W=20 k=1.75	20	1.75	1	1.667	938.000	0.012	0.063
1000	4984	roll-log   W=20 k=2.00	20	2.00	1	6.667	816.667	0.045	0.185
1000	4984	roll-log   W=20 k=2.50	20	2.50	1	7.333	781.667	0.055	0.220
1000	4984	roll-rel25 W=10 k=1.75	10	1.75	1	30.000	569.667	0.103	0.434
1000	4984	roll-rel25 W=10 k=2.00	10	2.00	1	30.333	492.667	0.128	0.512
1000	4984	roll-rel25 W=10 k=2.50	10	2.50	1	34.333	435.333	0.146	0.570
1000	4984	roll-rel25 W=15 k=1.75	15	1.75	1	30.000	561.333	0.106	0.443
1000	4984	roll-rel25 W=15 k=2.00	15	2.00	1	29.667	474.333	0.135	0.530
1000	4984	roll-rel25 W=15 k=2.50	15	2.50	1	21.333	282.000	0.195	0.724
1000	4984	roll-rel25 W=20 k=1.75	20	1.75	1	30.000	561.333	0.106	0.443
1000	4984	roll-rel25 W=20 k=2.00	20	2.00	1	29.667	461.333	0.139	0.543
1000	4984	roll-rel25 W=20 k=2.50	20	2.50	1	26.333	129.333	0.246	0.878
1000	4984	roll-rel50 W=10 k=1.75	10	1.75	1	9.667	9.667	0.281	0.999
1000	4984	roll-rel50 W=10 k=2.00	10	2.00	1	9.667	9.667	0.281	0.999
1000	4984	roll-rel50 W=10 k=2.50	10	2.50	1	9.667	9.667	0.281	0.999
1000	4984	roll-rel50 W=15 k=1.75	15	1.75	1	8.667	8.667	0.281	1.000
1000	4984	roll-rel50 W=15 k=2.00	15	2.00	1	8.667	8.667	0.281	1.000
1000	4984	roll-rel50 W=15 k=2.50	15	2.50	1	8.667	8.667	0.281	1.000
1000	4984	roll-rel50 W=20 k=1.75	20	1.75	1	9.667	9.667	0.281	0.999
1000	4984	roll-rel50 W=20 k=2.00	20	2.00	1	8.667	8.667	0.281	1.000
1000	4984	roll-rel50 W=20 k=2.50	20	2.50	1	8.667	8.667	0.281	1.000
2000	9935	CNM-full	-	-	-	9.667	9.667	0.273	1.000
2000	9935	GRAZ t=2	-	-	-	58.333	58.333	0.262	1.000
2000	9935	Louvain	-	-	-	14.333	14.333	0.282	1.000
2000	9935	roll-1sided W=10 k=1.75	10	1.75	1	0.000	1985.667	0.001	0.007
2000	9935	roll-1sided W=10 k=2.00	10	2.00	1	0.000	1985.667	0.001	0.007
2000	9935	roll-1sided W=10 k=2.50	10	2.50	1	0.000	1985.667	0.001	0.007
2000	9935	roll-1sided W=15 k=1.75	15	1.75	1	0.000	1981.333	0.001	0.009
2000	9935	roll-1sided W=15 k=2.00	15	2.00	1	0.000	1977.333	0.002	0.011
2000	9935	roll-1sided W=15 k=2.50	15	2.50	1	0.000	1974.333	0.002	0.013
2000	9935	roll-1sided W=20 k=1.75	20	1.75	1	0.000	1974.667	0.002	0.013
2000	9935	roll-1sided W=20 k=2.00	20	2.00	1	0.000	1974.000	0.002	0.013
2000	9935	roll-1sided W=20 k=2.50	20	2.50	1	0.000	1959.000	0.004	0.021
2000	9935	roll-2sided W=10 k=1.75	10	1.75	2	0.000	1985.667	0.001	0.007
2000	9935	roll-2sided W=10 k=2.00	10	2.00	2	0.000	1985.667	0.001	0.007
2000	9935	roll-2sided W=10 k=2.50	10	2.50	2	0.000	1985.667	0.001	0.007
2000	9935	roll-2sided W=15 k=1.75	15	1.75	2	0.000	1981.333	0.001	0.009
2000	9935	roll-2sided W=15 k=2.00	15	2.00	2	0.000	1977.333	0.002	0.011
2000	9935	roll-2sided W=15 k=2.50	15	2.50	2	0.000	1974.333	0.002	0.013
2000	9935	roll-2sided W=20 k=1.75	20	1.75	2	0.000	1974.667	0.002	0.013
2000	9935	roll-2sided W=20 k=2.00	20	2.00	2	0.000	1974.000	0.002	0.013
2000	9935	roll-2sided W=20 k=2.50	20	2.50	2	0.000	1959.000	0.004	0.021
2000	9935	roll-log   W=10 k=1.75	10	1.75	1	0.000	1985.667	0.001	0.007
2000	9935	roll-log   W=10 k=2.00	10	2.00	1	0.000	1985.667	0.001	0.007
2000	9935	roll-log   W=10 k=2.50	10	2.50	1	0.000	1985.667	0.001	0.007
2000	9935	roll-log   W=15 k=1.75	15	1.75	1	0.000	1981.333	0.001	0.009
2000	9935	roll-log   W=15 k=2.00	15	2.00	1	0.000	1977.333	0.002	0.011
2000	9935	roll-log   W=15 k=2.50	15	2.50	1	0.000	1974.333	0.002	0.013
2000	9935	roll-log   W=20 k=1.75	20	1.75	1	0.000	1974.667	0.002	0.013
2000	9935	roll-log   W=20 k=2.00	20	2.00	1	0.000	1974.000	0.002	0.013
2000	9935	roll-log   W=20 k=2.50	20	2.50	1	0.000	1959.000	0.004	0.021
2000	9935	roll-rel25 W=10 k=1.75	10	1.75	1	94.667	1044.667	0.107	0.480
2000	9935	roll-rel25 W=10 k=2.00	10	2.00	1	96.333	979.333	0.117	0.513
2000	9935	roll-rel25 W=10 k=2.50	10	2.50	1	96.333	979.333	0.117	0.513
2000	9935	roll-rel25 W=15 k=1.75	15	1.75	1	93.667	1031.667	0.109	0.487
2000	9935	roll-rel25 W=15 k=2.00	15	2.00	1	89.333	890.667	0.134	0.557
2000	9935	roll-rel25 W=15 k=2.50	15	2.50	1	86.333	637.000	0.175	0.685
2000	9935	roll-rel25 W=20 k=1.75	20	1.75	1	93.667	1031.667	0.109	0.487
2000	9935	roll-rel25 W=20 k=2.00	20	2.00	1	89.333	890.667	0.134	0.557
2000	9935	roll-rel25 W=20 k=2.50	20	2.50	1	60.333	585.667	0.182	0.711
2000	9935	roll-rel50 W=10 k=1.75	10	1.75	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=10 k=2.00	10	2.00	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=10 k=2.50	10	2.50	1	10.667	10.667	0.273	0.999
2000	9935	roll-rel50 W=15 k=1.75	15	1.75	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=15 k=2.00	15	2.00	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=15 k=2.50	15	2.50	1	11.000	11.000	0.273	0.999
2000	9935	roll-rel50 W=20 k=1.75	20	1.75	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=20 k=2.00	20	2.00	1	11.667	11.667	0.273	0.999
2000	9935	roll-rel50 W=20 k=2.50	20	2.50	1	11.333	11.333	0.273	0.999
5000	24999	CNM-full	-	-	-	10.333	11.000	0.269	1.000
5000	24999	GRAZ t=2	-	-	-	79.333	80.000	0.254	1.000
5000	24999	Louvain	-	-	-	14.000	14.667	0.274	1.000
5000	24999	roll-1sided W=10 k=1.75	10	1.75	1	0.000	4986.667	0.000	0.003
5000	24999	roll-1sided W=10 k=2.00	10	2.00	1	0.000	4982.667	0.000	0.003
5000	24999	roll-1sided W=10 k=2.50	10	2.50	1	0.000	4978.333	0.001	0.004
5000	24999	roll-1sided W=15 k=1.75	15	1.75	1	0.000	4978.000	0.001	0.004
5000	24999	roll-1sided W=15 k=2.00	15	2.00	1	0.000	4973.000	0.001	0.005
5000	24999	roll-1sided W=15 k=2.50	15	2.50	1	0.000	4972.333	0.001	0.006
5000	24999	roll-1sided W=20 k=1.75	20	1.75	1	0.000	4971.333	0.001	0.006
5000	24999	roll-1sided W=20 k=2.00	20	2.00	1	0.000	4971.333	0.001	0.006
5000	24999	roll-1sided W=20 k=2.50	20	2.50	1	0.000	4964.000	0.001	0.007
5000	24999	roll-2sided W=10 k=1.75	10	1.75	2	0.000	4986.667	0.000	0.003
5000	24999	roll-2sided W=10 k=2.00	10	2.00	2	0.000	4982.667	0.000	0.003
5000	24999	roll-2sided W=10 k=2.50	10	2.50	2	0.000	4978.333	0.001	0.004
5000	24999	roll-2sided W=15 k=1.75	15	1.75	2	0.000	4978.000	0.001	0.004
5000	24999	roll-2sided W=15 k=2.00	15	2.00	2	0.000	4973.000	0.001	0.005
5000	24999	roll-2sided W=15 k=2.50	15	2.50	2	0.000	4972.333	0.001	0.006
5000	24999	roll-2sided W=20 k=1.75	20	1.75	2	0.000	4971.333	0.001	0.006
5000	24999	roll-2sided W=20 k=2.00	20	2.00	2	0.000	4971.333	0.001	0.006
5000	24999	roll-2sided W=20 k=2.50	20	2.50	2	0.000	4964.000	0.001	0.007
5000	24999	roll-log   W=10 k=1.75	10	1.75	1	0.000	4986.667	0.000	0.003
5000	24999	roll-log   W=10 k=2.00	10	2.00	1	0.000	4982.667	0.000	0.003
5000	24999	roll-log   W=10 k=2.50	10	2.50	1	0.000	4978.333	0.001	0.004
5000	24999	roll-log   W=15 k=1.75	15	1.75	1	0.000	4978.000	0.001	0.004
5000	24999	roll-log   W=15 k=2.00	15	2.00	1	0.000	4973.000	0.001	0.005
5000	24999	roll-log   W=15 k=2.50	15	2.50	1	0.000	4972.333	0.001	0.006
5000	24999	roll-log   W=20 k=1.75	20	1.75	1	0.000	4971.333	0.001	0.006
5000	24999	roll-log   W=20 k=2.00	20	2.00	1	0.000	4971.333	0.001	0.006
5000	24999	roll-log   W=20 k=2.50	20	2.50	1	0.000	4964.000	0.001	0.007
5000	24999	roll-rel25 W=10 k=1.75	10	1.75	1	437.000	2187.667	0.125	0.564
5000	24999	roll-rel25 W=10 k=2.00	10	2.00	1	437.000	2187.667	0.125	0.564
5000	24999	roll-rel25 W=10 k=2.50	10	2.50	1	486.000	1953.000	0.138	0.611
5000	24999	roll-rel25 W=15 k=1.75	15	1.75	1	444.667	2245.667	0.120	0.552
5000	24999	roll-rel25 W=15 k=2.00	15	2.00	1	444.667	2245.667	0.120	0.552
5000	24999	roll-rel25 W=15 k=2.50	15	2.50	1	342.667	1524.000	0.168	0.697
5000	24999	roll-rel25 W=20 k=1.75	20	1.75	1	484.000	1835.333	0.147	0.634
5000	24999	roll-rel25 W=20 k=2.00	20	2.00	1	480.000	1826.000	0.148	0.636
5000	24999	roll-rel25 W=20 k=2.50	20	2.50	1	271.667	806.333	0.216	0.841
5000	24999	roll-rel50 W=10 k=1.75	10	1.75	1	13.000	13.667	0.269	0.999
5000	24999	roll-rel50 W=10 k=2.00	10	2.00	1	12.333	13.000	0.269	1.000
5000	24999	roll-rel50 W=10 k=2.50	10	2.50	1	12.000	12.667	0.269	1.000
5000	24999	roll-rel50 W=15 k=1.75	15	1.75	1	14.000	14.667	0.269	0.999
5000	24999	roll-rel50 W=15 k=2.00	15	2.00	1	12.000	12.667	0.269	1.000
5000	24999	roll-rel50 W=15 k=2.50	15	2.50	1	11.000	11.667	0.269	1.000
5000	24999	roll-rel50 W=20 k=1.75	20	1.75	1	23.667	24.333	0.268	0.997
5000	24999	roll-rel50 W=20 k=2.00	20	2.00	1	23.000	23.667	0.268	0.997
5000	24999	roll-rel50 W=20 k=2.50	20	2.50	1	21.667	22.333	0.268	0.998
10000	49830	CNM-full	-	-	-	13.333	13.333	0.261	1.000
10000	49830	GRAZ t=2	-	-	-	93.333	93.333	0.247	1.000
10000	49830	Louvain	-	-	-	24.333	24.333	0.260	1.000
10000	49830	roll-1sided W=10 k=1.75	10	1.75	1	0.000	9988.333	0.000	0.001
10000	49830	roll-1sided W=10 k=2.00	10	2.00	1	0.000	9987.667	0.000	0.001
10000	49830	roll-1sided W=10 k=2.50	10	2.50	1	0.000	9986.333	0.000	0.001
10000	49830	roll-1sided W=15 k=1.75	15	1.75	1	0.333	9981.333	0.000	0.002
10000	49830	roll-1sided W=15 k=2.00	15	2.00	1	0.333	9977.000	0.000	0.002
10000	49830	roll-1sided W=15 k=2.50	15	2.50	1	0.333	9973.000	0.000	0.003
10000	49830	roll-1sided W=20 k=1.75	20	1.75	1	0.333	9973.333	0.000	0.003
10000	49830	roll-1sided W=20 k=2.00	20	2.00	1	0.333	9973.000	0.000	0.003
10000	49830	roll-1sided W=20 k=2.50	20	2.50	1	0.333	9949.667	0.001	0.005
10000	49830	roll-2sided W=10 k=1.75	10	1.75	2	0.000	9988.333	0.000	0.001
10000	49830	roll-2sided W=10 k=2.00	10	2.00	2	0.000	9987.667	0.000	0.001
10000	49830	roll-2sided W=10 k=2.50	10	2.50	2	0.000	9986.333	0.000	0.001
10000	49830	roll-2sided W=15 k=1.75	15	1.75	2	0.333	9981.333	0.000	0.002
10000	49830	roll-2sided W=15 k=2.00	15	2.00	2	0.333	9977.000	0.000	0.002
10000	49830	roll-2sided W=15 k=2.50	15	2.50	2	0.333	9973.000	0.000	0.003
10000	49830	roll-2sided W=20 k=1.75	20	1.75	2	0.333	9973.333	0.000	0.003
10000	49830	roll-2sided W=20 k=2.00	20	2.00	2	0.333	9973.000	0.000	0.003
10000	49830	roll-2sided W=20 k=2.50	20	2.50	2	0.333	9949.667	0.001	0.005
10000	49830	roll-log   W=10 k=1.75	10	1.75	1	0.000	9988.333	0.000	0.001
10000	49830	roll-log   W=10 k=2.00	10	2.00	1	0.000	9987.667	0.000	0.001
10000	49830	roll-log   W=10 k=2.50	10	2.50	1	0.000	9986.333	0.000	0.001
10000	49830	roll-log   W=15 k=1.75	15	1.75	1	0.333	9981.333	0.000	0.002
10000	49830	roll-log   W=15 k=2.00	15	2.00	1	0.333	9977.000	0.000	0.002
10000	49830	roll-log   W=15 k=2.50	15	2.50	1	0.333	9973.000	0.000	0.003
10000	49830	roll-log   W=20 k=1.75	20	1.75	1	0.333	9973.333	0.000	0.003
10000	49830	roll-log   W=20 k=2.00	20	2.00	1	0.333	9973.000	0.000	0.003
10000	49830	roll-log   W=20 k=2.50	20	2.50	1	0.333	9949.667	0.001	0.005
10000	49830	roll-rel25 W=10 k=1.75	10	1.75	1	1762.333	3260.667	0.146	0.675
10000	49830	roll-rel25 W=10 k=2.00	10	2.00	1	1671.667	3075.667	0.154	0.693
10000	49830	roll-rel25 W=10 k=2.50	10	2.50	1	1187.000	2140.667	0.189	0.787
10000	49830	roll-rel25 W=15 k=1.75	15	1.75	1	1629.000	2985.000	0.158	0.702
10000	49830	roll-rel25 W=15 k=2.00	15	2.00	1	1572.333	2560.333	0.171	0.745
10000	49830	roll-rel25 W=15 k=2.50	15	2.50	1	1023.000	1371.333	0.213	0.864
10000	49830	roll-rel25 W=20 k=1.75	20	1.75	1	1617.667	2955.000	0.159	0.705
10000	49830	roll-rel25 W=20 k=2.00	20	2.00	1	1571.000	2558.667	0.171	0.745
10000	49830	roll-rel25 W=20 k=2.50	20	2.50	1	584.333	702.333	0.238	0.931
10000	49830	roll-rel50 W=10 k=1.75	10	1.75	1	15.000	15.000	0.261	1.000
10000	49830	roll-rel50 W=10 k=2.00	10	2.00	1	15.000	15.000	0.261	1.000
10000	49830	roll-rel50 W=10 k=2.50	10	2.50	1	14.000	14.000	0.261	1.000
10000	49830	roll-rel50 W=15 k=1.75	15	1.75	1	15.000	15.000	0.261	1.000
10000	49830	roll-rel50 W=15 k=2.00	15	2.00	1	15.000	15.000	0.261	1.000
10000	49830	roll-rel50 W=15 k=2.50	15	2.50	1	14.000	14.000	0.261	1.000
10000	49830	roll-rel50 W=20 k=1.75	20	1.75	1	15.000	15.000	0.261	1.000
10000	49830	roll-rel50 W=20 k=2.00	20	2.00	1	14.333	14.333	0.261	1.000
10000	49830	roll-rel50 W=20 k=2.50	20	2.50	1	13.667	13.667	0.261	1.000

=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===
  (skipped: pass large=edges[:labels])
