
=== Experiment 13: full David-review stopping-rule comparison ===
# T4 fits OLS to the preceding log-dQ window and compares the current trend-extrapolation residual with the fitted-residual scale. T5 applies CUSUM/SR to the same standardized residual stream; h is calibrated once on ER nulls, rather than swept per real graph.
# `mad` uses 1.4826*MAD and suppresses a near-flat window when its relative scale is below 1e-6; `defer` begins testing only after no mergeable singleton community remains. BM-native-stop is separate: it tests Eq. 6 on CNM's selected community pair with adaptive tau.
dataset	method	modifier	W	parameter	sided	stop_at	of_merges	stop_frac	K_all	K_ge3	Q	F1	NMI	frac_nonsingleton
    ...5000 merges, heap 71026, nbr_entries 89736 (max deg 67), 31 ms
    ...5000 merges, heap 70739, nbr_entries 89450 (max deg 56), 25 ms
    ...5000 merges, heap 70811, nbr_entries 89440 (max deg 52), 27 ms
    ...5000 merges, heap 69124, nbr_entries 90102 (max deg 57), 27 ms
    ...5000 merges, heap 69775, nbr_entries 90366 (max deg 90), 26 ms
    ...5000 merges, heap 69119, nbr_entries 89932 (max deg 60), 29 ms
    ...5000 merges, heap 71568, nbr_entries 90000 (max deg 43), 31 ms
    ...5000 merges, heap 68499, nbr_entries 90382 (max deg 46), 30 ms
    ...5000 merges, heap 69601, nbr_entries 90090 (max deg 51), 26 ms
    ...5000 merges, heap 69609, nbr_entries 90546 (max deg 47), 27 ms
# CUSUM calibration (delta=1, W=15): selected h=50.000 by the >=90% mean-ARL rule.
    ...240000 merges, heap 17669545, nbr_entries 503598 (max deg 14192), 53050 ms
    [compact] 20006322 -> 231398 live entries after 244511 merges (53320 ms)
    ...245000 merges, heap 374614, nbr_entries 475684 (max deg 13912), 53341 ms
    ...250000 merges, heap 2810833, nbr_entries 447342 (max deg 13528), 53439 ms
    ...255000 merges, heap 6191746, nbr_entries 419344 (max deg 13099), 53588 ms
    ...260000 merges, heap 7430711, nbr_entries 390790 (max deg 12677), 53652 ms
    ...265000 merges, heap 8375938, nbr_entries 361380 (max deg 12276), 53709 ms
    ...270000 merges, heap 10068094, nbr_entries 331552 (max deg 11912), 53831 ms
    ...275000 merges, heap 12251530, nbr_entries 301870 (max deg 11460), 53934 ms
    ...280000 merges, heap 14666063, nbr_entries 272306 (max deg 10824), 54053 ms
    ...285000 merges, heap 15821000, nbr_entries 240504 (max deg 10304), 54123 ms
    ...290000 merges, heap 16721313, nbr_entries 207604 (max deg 9797), 54181 ms
    ...295000 merges, heap 18059121, nbr_entries 175128 (max deg 9152), 54260 ms
    ...300000 merges, heap 18643429, nbr_entries 140998 (max deg 8575), 54314 ms
    ...305000 merges, heap 19555907, nbr_entries 105714 (max deg 7895), 54383 ms
    [compact] 20004048 -> 36683 live entries after 307934 merges (54535 ms)
    ...310000 merges, heap 646343, nbr_entries 76434 (max deg 6986), 54581 ms
    ...315000 merges, heap 842291, nbr_entries 59608 (max deg 6042), 54611 ms
    ...320000 merges, heap 1237004, nbr_entries 44036 (max deg 5242), 54693 ms
    ...325000 merges, heap 2908411, nbr_entries 30004 (max deg 4634), 55090 ms
    ...330000 merges, heap 6243290, nbr_entries 19086 (max deg 2613), 56043 ms
# amazon_full CNM-full merges=333388 budget=0 singleton_phase_end=331875
# plateau-window amazon_full indices=2438..2458 bit_identical_consecutive=no
TRACE	amazon_full	2438	1.08006173632758866e-06
TRACE	amazon_full	2439	1.08006173632758866e-06
TRACE	amazon_full	2440	1.08006173632758866e-06
TRACE	amazon_full	2441	1.08006173632758866e-06
TRACE	amazon_full	2442	1.08006173632758866e-06
TRACE	amazon_full	2443	1.08006173632758866e-06
TRACE	amazon_full	2444	1.08006173632758866e-06
TRACE	amazon_full	2445	1.08006173632758866e-06
TRACE	amazon_full	2446	1.08006173632758866e-06
TRACE	amazon_full	2447	1.08006173632758866e-06
TRACE	amazon_full	2448	1.08006115305965150e-06
TRACE	amazon_full	2449	1.08006115305965150e-06
TRACE	amazon_full	2450	1.08006115305965150e-06
TRACE	amazon_full	2451	1.08006115305965150e-06
TRACE	amazon_full	2452	1.08006115305965150e-06
TRACE	amazon_full	2453	1.08006115305965150e-06
TRACE	amazon_full	2454	1.08006115305965150e-06
TRACE	amazon_full	2455	1.08006115305965150e-06
TRACE	amazon_full	2456	1.08006115305965150e-06
TRACE	amazon_full	2457	1.08006115305965150e-06
TRACE	amazon_full	2458	1.08006115305965150e-06
amazon_full	CNM-full	-	0	0.000	1	333388.000	333388.000	1.000	1475.000	1475.000	0.871	0.622	0.884	1.000
amazon_full	T1-2sided-k1	none	10	1.000	2	2448.000	333388.000	0.007	332415.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T2-short-1sided	none	5	5.000	1	12999.000	333388.000	0.039	321864.000	1482.000	0.015	0.272	0.824	0.073
amazon_full	T3-diff-1sided	none	15	3.000	1	2448.000	333388.000	0.007	332415.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	10	1.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	10	1.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	10	2.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	10	2.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	10	3.000	1	12933.000	333388.000	0.039	321930.000	1483.000	0.015	0.272	0.824	0.073
amazon_full	T4-detrend-2sided	none	10	3.000	2	4928.000	333388.000	0.015	329935.000	0.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	none	15	1.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	15	1.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	15	2.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	15	2.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	15	3.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	15	3.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	20	1.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	20	1.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	20	2.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	20	2.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-1sided	none	20	3.000	1	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T4-detrend-2sided	none	20	3.000	2	2449.000	333388.000	0.007	332414.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T5-cusum	none	15	50.000	1	14709.000	333388.000	0.044	320154.000	1478.000	0.021	0.272	0.824	0.078
amazon_full	T5-sr	none	15	50.000	1	2450.000	333388.000	0.007	332413.000	0.000	0.003	0.241	0.822	0.015
amazon_full	T1-2sided-k1	defer	10	1.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T2-short-1sided	defer	5	5.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T3-diff-1sided	defer	15	3.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	10	1.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	10	1.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	10	2.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	10	2.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	10	3.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	10	3.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	15	1.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	15	1.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	15	2.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	15	2.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	15	3.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	15	3.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	20	1.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	20	1.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	20	2.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	20	2.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer	20	3.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer	20	3.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T5-cusum	defer	15	50.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T5-sr	defer	15	50.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T1-2sided-k1	mad	10	1.000	2	12927.000	333388.000	0.039	321936.000	1483.000	0.015	0.272	0.824	0.073
amazon_full	T2-short-1sided	mad	5	5.000	1	5517.000	333388.000	0.017	329346.000	88.000	0.006	0.244	0.822	0.033
amazon_full	T3-diff-1sided	mad	15	3.000	1	12951.000	333388.000	0.039	321912.000	1483.000	0.015	0.272	0.824	0.073
amazon_full	T4-detrend-1sided	mad	10	1.000	1	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	10	1.000	2	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	10	2.000	1	4930.000	333388.000	0.015	329933.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	10	2.000	2	4930.000	333388.000	0.015	329933.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	10	3.000	1	4933.000	333388.000	0.015	329930.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	10	3.000	2	4933.000	333388.000	0.015	329930.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	15	1.000	1	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	15	1.000	2	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	15	2.000	1	4932.000	333388.000	0.015	329931.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	15	2.000	2	4932.000	333388.000	0.015	329931.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	15	3.000	1	4935.000	333388.000	0.015	329928.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	15	3.000	2	4935.000	333388.000	0.015	329928.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	20	1.000	1	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	20	1.000	2	4929.000	333388.000	0.015	329934.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	20	2.000	1	4931.000	333388.000	0.015	329932.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	20	2.000	2	4931.000	333388.000	0.015	329932.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-1sided	mad	20	3.000	1	4937.000	333388.000	0.015	329926.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T4-detrend-2sided	mad	20	3.000	2	4937.000	333388.000	0.015	329926.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T5-cusum	mad	15	50.000	1	5141.000	333388.000	0.015	329722.000	26.000	0.006	0.242	0.822	0.031
amazon_full	T5-sr	mad	15	50.000	1	4931.000	333388.000	0.015	329932.000	1.000	0.005	0.241	0.822	0.029
amazon_full	T1-2sided-k1	defer+mad	10	1.000	2	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T2-short-1sided	defer+mad	5	5.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T3-diff-1sided	defer+mad	15	3.000	1	331875.000	333388.000	0.995	2988.000	2481.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	10	1.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	10	1.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	10	2.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	10	2.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	10	3.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	10	3.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	15	1.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	15	1.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	15	2.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	15	2.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	15	3.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	15	3.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	20	1.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	20	1.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	20	2.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	20	2.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-1sided	defer+mad	20	3.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T4-detrend-2sided	defer+mad	20	3.000	2	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	T5-cusum	defer+mad	15	50.000	1	332054.000	333388.000	0.996	2809.000	2302.000	0.870	0.684	0.914	1.000
amazon_full	T5-sr	defer+mad	15	50.000	1	331876.000	333388.000	0.995	2987.000	2480.000	0.870	0.695	0.918	1.000
amazon_full	BM-native-stop	-	0	2.000	1	13341.000	333388.000	0.040	321522.000	1481.000	0.016	0.272	0.824	0.074
amazon_full	cm-baseline	-	0	1.000	1	0.000	333388.000	0.000	334863.000	0.000	-0.000	0.240	0.822	0.000
amazon_full	cm-baseline	-	0	5.000	1	0.000	333388.000	0.000	334863.000	0.000	-0.000	0.240	0.822	0.000
amazon_full	cm-baseline	-	0	10.000	1	0.000	333388.000	0.000	334863.000	0.000	-0.000	0.240	0.822	0.000
amazon_full	cm-baseline	-	0	50.000	1	0.000	333388.000	0.000	334863.000	0.000	-0.000	0.240	0.822	0.000
    ...5000 merges, heap 1058301, nbr_entries 2089030 (max deg 343), 178 ms
    ...10000 merges, heap 1110987, nbr_entries 2074736 (max deg 343), 185 ms
    ...15000 merges, heap 1157718, nbr_entries 2060234 (max deg 343), 191 ms
    ...20000 merges, heap 1196412, nbr_entries 2045612 (max deg 343), 197 ms
    ...25000 merges, heap 1222740, nbr_entries 2030916 (max deg 343), 204 ms
    ...30000 merges, heap 1237591, nbr_entries 2017768 (max deg 343), 209 ms
    [compact] 20011056 -> 971759 live entries after 32586 merges (1190 ms)
    [compact] 20006349 -> 957502 live entries after 33474 merges (2048 ms)
    [compact] 20010727 -> 947305 live entries after 34245 merges (3073 ms)
    [compact] 20021406 -> 938194 live entries after 34934 merges (4063 ms)
    ...35000 merges, heap 2827524, nbr_entries 1885948 (max deg 34380), 4140 ms
    [compact] 20000552 -> 929736 live entries after 35580 merges (4924 ms)
    [compact] 20011578 -> 921759 live entries after 36191 merges (5950 ms)
    [compact] 20026004 -> 916837 live entries after 36785 merges (6952 ms)
    [compact] 20031663 -> 911763 live entries after 37365 merges (7970 ms)
    [compact] 20005892 -> 903680 live entries after 37926 merges (8925 ms)
    [compact] 20002892 -> 895147 live entries after 38466 merges (9871 ms)
    [compact] 20024239 -> 882040 live entries after 38999 merges (11094 ms)
    [compact] 20030725 -> 875615 live entries after 39526 merges (12359 ms)
    ...40000 merges, heap 18374392, nbr_entries 1773848 (max deg 49851), 13197 ms
    [compact] 20004883 -> 873710 live entries after 40044 merges (13390 ms)
    [compact] 20018594 -> 869842 live entries after 40575 merges (14619 ms)
    [compact] 20007456 -> 865747 live entries after 41108 merges (15729 ms)
    [compact] 20004119 -> 863158 live entries after 41633 merges (16800 ms)
    [compact] 20017464 -> 859033 live entries after 42154 merges (18075 ms)
    [compact] 20020203 -> 855755 live entries after 42667 merges (19284 ms)
    [compact] 20012037 -> 850194 live entries after 43177 merges (20474 ms)
    [compact] 20010618 -> 847207 live entries after 43701 merges (21628 ms)
    [compact] 20030627 -> 843018 live entries after 44218 merges (22936 ms)
    [compact] 20013520 -> 835669 live entries after 44726 merges (24119 ms)
    ...45000 merges, heap 10899288, nbr_entries 1705312 (max deg 55639), 24877 ms
    [compact] 20010064 -> 834402 live entries after 45248 merges (25528 ms)
    [compact] 20011475 -> 833879 live entries after 45770 merges (26836 ms)
    [compact] 20021746 -> 830170 live entries after 46292 merges (28138 ms)
    [compact] 20010774 -> 822987 live entries after 46821 merges (29439 ms)
    [compact] 20007909 -> 819210 live entries after 47370 merges (30807 ms)
    [compact] 20011461 -> 817128 live entries after 47912 merges (32261 ms)
    [compact] 20006053 -> 815135 live entries after 48452 merges (33613 ms)
    [compact] 20024835 -> 811744 live entries after 48989 merges (35358 ms)
    [compact] 20022396 -> 807450 live entries after 49518 merges (36720 ms)
    ...50000 merges, heap 18544546, nbr_entries 1651588 (max deg 59835), 37834 ms
    [compact] 20000223 -> 803007 live entries after 50039 merges (38034 ms)
    [compact] 20006629 -> 800004 live entries after 50559 merges (39695 ms)
    [compact] 20002630 -> 797945 live entries after 51076 merges (41189 ms)
    [compact] 20005731 -> 796186 live entries after 51591 merges (42770 ms)
    [compact] 20030627 -> 792876 live entries after 52104 merges (44296 ms)
    [compact] 20010360 -> 789677 live entries after 52616 merges (45811 ms)
    [compact] 20016135 -> 783252 live entries after 53175 merges (47616 ms)
    [compact] 20034503 -> 780506 live entries after 53732 merges (49389 ms)
    [compact] 20016219 -> 777924 live entries after 54283 merges (51150 ms)
    [compact] 20020295 -> 775037 live entries after 54831 merges (52756 ms)
    ...55000 merges, heap 6768735, nbr_entries 1601982 (max deg 62618), 53177 ms
    [compact] 20033422 -> 771317 live entries after 55370 merges (54362 ms)
    [compact] 20019981 -> 767675 live entries after 55903 merges (55957 ms)
    [compact] 20031063 -> 764841 live entries after 56430 merges (57631 ms)
    [compact] 20004223 -> 763612 live entries after 57005 merges (59869 ms)
    [compact] 20008937 -> 763037 live entries after 57580 merges (61938 ms)
    [compact] 20002732 -> 761794 live entries after 58160 merges (63850 ms)
    [compact] 20018363 -> 761207 live entries after 58747 merges (65708 ms)
    [compact] 20017189 -> 760620 live entries after 59334 merges (67510 ms)
    [compact] 20015715 -> 760030 live entries after 59921 merges (69121 ms)
    ...60000 merges, heap 3322447, nbr_entries 1575756 (max deg 60866), 69346 ms
    [compact] 20018587 -> 757149 live entries after 60512 merges (70912 ms)
    [compact] 20006532 -> 754557 live entries after 61100 merges (72615 ms)
    [compact] 20021539 -> 751763 live entries after 61687 merges (74281 ms)
    [compact] 20007714 -> 749366 live entries after 62316 merges (76186 ms)
    [compact] 20019086 -> 747741 live entries after 62944 merges (78222 ms)
    [compact] 20017402 -> 746039 live entries after 63572 merges (80097 ms)
    [compact] 20012725 -> 744532 live entries after 64199 merges (81836 ms)
    [compact] 20004994 -> 742772 live entries after 64826 merges (83594 ms)
    ...65000 merges, heap 6097267, nbr_entries 1541976 (max deg 60381), 84033 ms
    [compact] 20016244 -> 741197 live entries after 65452 merges (85360 ms)
    [compact] 20009280 -> 739363 live entries after 66077 merges (86925 ms)
    [compact] 20012297 -> 736145 live entries after 66696 merges (88613 ms)
    [compact] 20006110 -> 734581 live entries after 67313 merges (90246 ms)
    [compact] 20004225 -> 710726 live entries after 69656 merges (91788 ms)
    ...70000 merges, heap 3258397, nbr_entries 1481586 (max deg 59475), 91867 ms
    [compact] 20004004 -> 694801 live entries after 71803 merges (92578 ms)
    [compact] 20007922 -> 685593 live entries after 73256 merges (93438 ms)
    [compact] 20006232 -> 678487 live entries after 74447 merges (94187 ms)
    ...75000 merges, heap 10824132, nbr_entries 1417984 (max deg 57478), 94564 ms
    [compact] 20009905 -> 671768 live entries after 75468 merges (95054 ms)
    [compact] 20016668 -> 666420 live entries after 76379 merges (95994 ms)
    [compact] 20016612 -> 661237 live entries after 77211 merges (96751 ms)
    [compact] 20018892 -> 659104 live entries after 78024 merges (97760 ms)
    [compact] 20010343 -> 656772 live entries after 78870 merges (98668 ms)
    [compact] 20022469 -> 653091 live entries after 79694 merges (99680 ms)
    ...80000 merges, heap 7941325, nbr_entries 1374906 (max deg 56076), 99973 ms
    [compact] 20000726 -> 650203 live entries after 80508 merges (100576 ms)
    [compact] 20022548 -> 648050 live entries after 81312 merges (101473 ms)
    [compact] 20015827 -> 645252 live entries after 82128 merges (102426 ms)
    [compact] 20013156 -> 640160 live entries after 82937 merges (103335 ms)
    [compact] 20006537 -> 637758 live entries after 83723 merges (104239 ms)
    [compact] 20013901 -> 634441 live entries after 84499 merges (105311 ms)
    ...85000 merges, heap 13082037, nbr_entries 1340596 (max deg 55038), 105893 ms
    [compact] 20011345 -> 631856 live entries after 85277 merges (106235 ms)
    [compact] 20013314 -> 629363 live entries after 86063 merges (107289 ms)
    [compact] 20002754 -> 626853 live entries after 86835 merges (108655 ms)
    [compact] 20022683 -> 622656 live entries after 87605 merges (110313 ms)
    [compact] 20016939 -> 618279 live entries after 88356 merges (111648 ms)
    [compact] 20017741 -> 615645 live entries after 89091 merges (113748 ms)
    [compact] 20012490 -> 612780 live entries after 89816 merges (115123 ms)
    ...90000 merges, heap 5598691, nbr_entries 1300314 (max deg 53715), 115790 ms
    [compact] 20013667 -> 608754 live entries after 90552 merges (117321 ms)
    [compact] 20004468 -> 606485 live entries after 91301 merges (119016 ms)
    [compact] 20016975 -> 604267 live entries after 92043 merges (120897 ms)
    [compact] 20011999 -> 601610 live entries after 92791 merges (122292 ms)
    [compact] 20004068 -> 599219 live entries after 93531 merges (124805 ms)
    [compact] 20003523 -> 596742 live entries after 94263 merges (126058 ms)
    [compact] 20001444 -> 594066 live entries after 94984 merges (127324 ms)
    ...95000 merges, heap 1027428, nbr_entries 1266374 (max deg 52627), 127367 ms
    [compact] 20024723 -> 589960 live entries after 95718 merges (128769 ms)
    [compact] 20016186 -> 587036 live entries after 96472 merges (129761 ms)
    [compact] 20002146 -> 584084 live entries after 97218 merges (130746 ms)
    ...100000 merges, heap 18886677, nbr_entries 1218354 (max deg 51478), 131524 ms
    [compact] 20004803 -> 568465 live entries after 100175 merges (131754 ms)
    [compact] 20002329 -> 556575 live entries after 102349 merges (132495 ms)
    [compact] 20011325 -> 548872 live entries after 103886 merges (133337 ms)
    ...105000 merges, heap 16087224, nbr_entries 1168394 (max deg 50415), 133955 ms
    [compact] 20013752 -> 544571 live entries after 105287 merges (134323 ms)
    [compact] 20009614 -> 540239 live entries after 106703 merges (135257 ms)
    [compact] 20008711 -> 535293 live entries after 108142 merges (136249 ms)
    [compact] 20005705 -> 530754 live entries after 109557 merges (136997 ms)
    ...110000 merges, heap 6551932, nbr_entries 1136398 (max deg 49794), 137206 ms
    [compact] 20008621 -> 525583 live entries after 110978 merges (137941 ms)
    [compact] 20010527 -> 521111 live entries after 112373 merges (138976 ms)
    [compact] 20014432 -> 516455 live entries after 113747 merges (139963 ms)
    ...115000 merges, heap 18843865, nbr_entries 1102244 (max deg 48990), 140740 ms
    [compact] 20008113 -> 511390 live entries after 115079 merges (140858 ms)
    [compact] 20013585 -> 506486 live entries after 116355 merges (141724 ms)
    [compact] 20003356 -> 500596 live entries after 117560 merges (142536 ms)
    [compact] 20012607 -> 494297 live entries after 118726 merges (143481 ms)
    [compact] 20001103 -> 489664 live entries after 119845 merges (144472 ms)
    ...120000 merges, heap 3202938, nbr_entries 1057478 (max deg 47778), 144555 ms
    [compact] 20015255 -> 485697 live entries after 120942 merges (145363 ms)
    [compact] 20009452 -> 481788 live entries after 122009 merges (146165 ms)
    [compact] 20005603 -> 476828 live entries after 123058 merges (146910 ms)
    ...125000 merges, heap 4757804, nbr_entries 1019406 (max deg 46617), 147057 ms
    [compact] 20002421 -> 460397 live entries after 127910 merges (147665 ms)
    ...130000 merges, heap 16521740, nbr_entries 981548 (max deg 45536), 148161 ms
    [compact] 20007079 -> 452225 live entries after 130363 merges (148408 ms)
    [compact] 20001230 -> 446142 live entries after 132177 merges (149053 ms)
    [compact] 20013389 -> 440905 live entries after 133728 merges (149783 ms)
    ...135000 merges, heap 10333536, nbr_entries 946394 (max deg 44374), 150110 ms
    [compact] 20002371 -> 418032 live entries after 139487 merges (150583 ms)
    ...140000 merges, heap 2662566, nbr_entries 900850 (max deg 43282), 150648 ms
    ...145000 merges, heap 13879194, nbr_entries 872860 (max deg 42554), 151232 ms
    [compact] 20004349 -> 395855 live entries after 147862 merges (151890 ms)
